id,id_bacteria,categoria,caracteristica,valor,peso,tipo_valor,fonte
1,1,colonia,cor_colonia,dourada,0.7,texto,ASM
2,1,colonia,textura,cremosa,0.6,texto,LibreTexts
3,1,bioquimica,catalase,positiva,0.9,binario,ASM
4,1,bioquimica,coagulase,positiva,1.0,binario,ASM
5,1,microscopia,gram,positiva,1.0,texto,ASM
6,1,microscopia,morfologia_celular,coco,0.9,texto,ASM
7,1,microscopia,arranjo,cachos,0.9,texto,ASM
8,2,colonia,cor_colonia,branca,0.5,texto,ASM
9,2,bioquimica,catalase,positiva,0.9,binario,ASM
10,2,bioquimica,coagulase,negativa,1.0,binario,ASM
11,2,microscopia,gram,positiva,1.0,texto,ASM
12,2,microscopia,morfologia_celular,coco,0.9,texto,ASM
13,2,microscopia,arranjo,cachos,0.9,texto,ASM
14,3,colonia,hemolise,beta,1.0,texto,ASM
15,3,bioquimica,catalase,negativa,0.9,binario,ASM
16,3,microscopia,gram,positiva,1.0,texto,ASM
17,3,microscopia,morfologia_celular,coco,0.9,texto,ASM
18,3,microscopia,arranjo,cadeias,0.9,texto,ASM
19,4,colonia,hemolise,beta_discreta,0.8,texto,ASM
20,4,bioquimica,catalase,negativa,0.9,binario,ASM
21,4,microscopia,gram,positiva,1.0,texto,ASM
22,4,microscopia,morfologia_celular,coco,0.9,texto,ASM
23,4,microscopia,arranjo,cadeias,0.9,texto,ASM
24,5,bioquimica,bile_esculina,positiva,0.9,binario,Microbiology MLS
25,5,bioquimica,nacl_6_5,positivo,0.9,binario,Microbiology MLS
26,5,bioquimica,catalase,negativa,0.7,binario,ASM
27,5,microscopia,gram,positiva,1.0,texto,ASM
28,5,microscopia,morfologia_celular,coco,0.8,texto,ASM
29,5,microscopia,arranjo,pares/cadeias curtas,0.8,texto,ASM
30,6,colonia,tamanho_colonia,grande,0.6,texto,LibreTexts
31,6,colonia,textura,seca,0.8,texto,Ossila
32,6,colonia,forma,irregular,0.8,texto,LibreTexts
33,6,biologia,formacao_esporos,sim,1.0,binario,LibreTexts
34,6,microscopia,gram,positiva,1.0,texto,ASM
35,6,microscopia,morfologia_celular,bacilo,0.9,texto,ASM
36,7,microscopia,gram,positiva,1.0,texto,ASM
37,7,microscopia,morfologia_celular,bacilo_pleomorfico,0.9,texto,ASM
38,7,microscopia,arranjo,palicada,0.8,texto,ASM
39,8,colonia,hemolise,beta_pequena,0.7,texto,ASM
40,8,bioquimica,motilidade_temp_ambiente,positiva,0.8,binario,ASM
41,8,microscopia,gram,positiva,1.0,texto,ASM
42,8,microscopia,morfologia_celular,bacilo_curto,0.8,texto,ASM
43,9,bioquimica,lactose,positiva,1.0,binario,UW
44,9,bioquimica,indol,positiva,1.0,binario,UW
45,9,bioquimica,oxidase,negativa,0.9,binario,UW
46,9,microscopia,gram,negativa,1.0,texto,ASM
47,9,microscopia,morfologia_celular,bacilo,0.9,texto,ASM
48,10,colonia,textura,mucoide,1.0,texto,ASM
49,10,bioquimica,lactose,positiva,0.9,binario,UW
50,10,microscopia,gram,negativa,1.0,texto,ASM
51,10,microscopia,morfologia_celular,bacilo,0.9,texto,ASM
52,11,bioquimica,lactose,positiva_variavel,0.7,texto,UW
53,11,bioquimica,citrato,positivo,0.9,binario,UW
54,11,microscopia,gram,negativa,1.0,texto,ASM
55,11,microscopia,morfologia_celular,bacilo,0.9,texto,ASM
56,12,colonia,crescimento,swarming,1.0,texto,ASM
57,12,bioquimica,urease,positiva,1.0,binario,UW
58,12,bioquimica,lactose,negativa,0.8,binario,UW
59,12,microscopia,gram,negativa,1.0,texto,ASM
60,12,microscopia,morfologia_celular,bacilo,0.9,texto,ASM
61,13,bioquimica,lactose,negativa,0.9,binario,UW
62,13,bioquimica,h2s,positivo,1.0,binario,UW
63,13,microscopia,gram,negativa,1.0,texto,ASM
64,13,microscopia,morfologia_celular,bacilo,0.9,texto,ASM
65,14,bioquimica,lactose,negativa,0.8,binario,UW
66,14,bioquimica,motilidade,negativa,0.9,binario,UW
67,14,microscopia,gram,negativa,1.0,texto,ASM
68,14,microscopia,morfologia_celular,bacilo,0.9,texto,ASM
69,15,colonia,pigmento,verde_azulado,1.0,texto,ASM
70,15,colonia,odor,caracteristico,0.7,texto,ASM
71,15,bioquimica,oxidase,positiva,1.0,binario,ASM
72,15,microscopia,gram,negativa,1.0,texto,ASM
73,15,microscopia,morfologia_celular,bacilo,0.9,texto,ASM
74,16,bioquimica,oxidase,positiva,1.0,binario,ASM
75,16,microscopia,gram,negativa,1.0,texto,ASM
76,16,microscopia,morfologia_celular,diplococo,1.0,texto,ASM
77,17,bioquimica,oxidase,positiva,1.0,binario,ASM
78,17,microscopia,gram,negativa,1.0,texto,ASM
79,17,microscopia,morfologia_celular,diplococo,1.0,texto,ASM
80,18,bioquimica,oxidase,positiva,0.9,binario,ASM
81,18,microscopia,gram,negativa,1.0,texto,ASM
82,18,microscopia,morfologia_celular,bacilo_curvo,1.0,texto,ASM
83,19,bioquimica,oxidase,positiva,0.8,binario,ASM
84,19,crescimento,atmosfera,microaerofila,1.0,texto,ASM
85,19,microscopia,gram,negativa,1.0,texto,ASM
86,19,microscopia,morfologia_celular,bacilo_curvo_espiralado,1.0,texto,ASM
87,20,bioquimica,urease,positiva_forte,1.0,texto,ASM
88,20,crescimento,atmosfera,microaerofila,1.0,texto,ASM
89,20,microscopia,gram,negativa,1.0,texto,ASM
90,20,microscopia,morfologia_celular,bacilo_curvo_espiralado,1.0,texto,ASM
91,21,crescimento,fatores_x_v,necessarios,1.0,texto,ASM
92,21,microscopia,gram,negativa,1.0,texto,ASM
93,21,microscopia,morfologia_celular,cocobacilo,1.0,texto,ASM
94,22,crescimento,meio_especifico,necessario,0.9,texto,ASM
95,22,microscopia,gram,negativa,1.0,texto,ASM
96,22,microscopia,morfologia_celular,cocobacilo,1.0,texto,ASM
97,23,microscopia,gram,negativa,1.0,texto,ASM
